size1, size2, size3, timestamp
18, , , 1557395744
, 17, , 1557395745
, , 17, 1557395746
19, , , 1557395746
, 17, , 1557395747
, , 19, 1557395748
19, , , 1557395748
, 18, , 1557395750
, , 18, 1557395750
18, , , 1557395750
, 18, , 1557395752
, , 17, 1557395752
18, , , 1557395753
, 19, , 1557395754
, , 16, 1557395754
18, , , 1557395755
, 19, , 1557395756
, , 17, 1557395756
18, , , 1557395757
, 17, , 1557395758
, , 17, 1557395758
19, , , 1557395759
, 17, , 1557395760
, , 16, 1557395760
18, , , 1557395761
, 17, , 1557395762
, , 17, 1557395762
17, , , 1557395763
, 17, , 1557395764
, , 17, 1557395764
18, , , 1557395765
, 17, , 1557395766
, , 17, 1557395766
18, , , 1557395767
, 17, , 1557395768
, , 17, 1557395768
18, , , 1557395769
, 17, , 1557395770
, , 17, 1557395770
18, , , 1557395771
, 17, , 1557395772
, , 17, 1557395772
17, , , 1557395773
, 17, , 1557395774
, , 17, 1557395774
19, , , 1557395775
, 17, , 1557395776
, , 17, 1557395776
17, , , 1557395777
, 17, , 1557395778
, , 17, 1557395778
18, , , 1557395779
, 17, , 1557395780
, , 17, 1557395780
18, , , 1557395781
, 17, , 1557395782
, , 18, 1557395783
21, , , 1557395783
, 17, , 1557395784
, , 18, 1557395785
19, , , 1557395785
, 17, , 1557395786
, , 19, 1557395787
18, , , 1557395787
, 17, , 1557395789
, , 18, 1557395789
18, , , 1557395789
, 17, , 1557395791
, , 24, 1557395791
18, , , 1557395792
, 17, , 1557395793
, , 16, 1557395793
18, , , 1557395794
, 16, , 1557395795
, , 17, 1557395795
18, , , 1557395796
, 18, , 1557395797
, , 16, 1557395797
23, , , 1557395798
, 17, , 1557395799
, , 17, 1557395799
22, , , 1557395800
, 17, , 1557395801
, , 17, 1557395801
20, , , 1557395802
, 20, , 1557395803
, , 17, 1557395803
18, , , 1557395804
, 16, , 1557395805
, , 17, 1557395805
19, , , 1557395806
, 18, , 1557395807
, , 17, 1557395807
18, , , 1557395808
, 17, , 1557395809
, , 17, 1557395809
18, , , 1557395810
, 16, , 1557395811
, , 17, 1557395811
19, , , 1557395812
, 17, , 1557395813
, , 17, 1557395813
19, , , 1557395814
, 17, , 1557395815
, , 17, 1557395815
18, , , 1557395816
, 17, , 1557395817
, , 17, 1557395817
18, , , 1557395818
, 18, , 1557395819
, , 17, 1557395819
18, , , 1557395820
, 19, , 1557395821
, , 17, 1557395822
18, , , 1557395822
, 16, , 1557395823
, , 17, 1557395824
18, , , 1557395824
, 17, , 1557395825
, , 17, 1557395826
18, , , 1557395827
, 17, , 1557395828
, , 17, 1557395828
18, , , 1557395829
, 17, , 1557395830
, , 17, 1557395830
18, , , 1557395831
, 17, , 1557395832
, , 17, 1557395832
18, , , 1557395833
, 17, , 1557395834
, , 17, 1557395834
18, , , 1557395835
, 17, , 1557395836
, , 22, 1557395836
19, , , 1557395837
, 19, , 1557395838
, , 17, 1557395838
18, , , 1557395839
, 17, , 1557395840
, , 17, 1557395840
18, , , 1557395841
, 17, , 1557395842
, , 17, 1557395842
18, , , 1557395843
, 17, , 1557395844
, , 17, 1557395844
19, , , 1557395845
, 19, , 1557395846
, , 17, 1557395846
20, , , 1557395847
, 17, , 1557395848
, , 17, 1557395848
18, , , 1557395849
, 17, , 1557395850
, , 17, 1557395850
18, , , 1557395851
, 17, , 1557395852
, , 17, 1557395852
18, , , 1557395853
, 17, , 1557395854
, , 17, 1557395854
18, , , 1557395855
, 17, , 1557395856
, , 17, 1557395856
18, , , 1557395857
, 18, , 1557395858
, , 17, 1557395858
19, , , 1557395859
, 17, , 1557395860
, , 17, 1557395861
18, , , 1557395861
, 17, , 1557395862
, , 17, 1557395863
17, , , 1557395863
, 17, , 1557395899
, , 17, 1557395900
18, , , 1557395900
, 17, , 1557395901
, , 17, 1557395902
17, , , 1557395902
, 16, , 1557395904
, , 17, 1557395904
18, , , 1557395905
, 17, , 1557395906
, , 17, 1557395906
18, , , 1557395907
, 17, , 1557395908
, , 17, 1557395908
18, , , 1557395909
, 18, , 1557395910
, , 17, 1557395910
18, , , 1557395911
, 17, , 1557395912
, , 17, 1557395912
18, , , 1557395913
, 17, , 1557395914
, , 17, 1557395914
18, , , 1557395915
, 17, , 1557395916
, , 17, 1557395916
17, , , 1557395917
, 18, , 1557395918
, , 17, 1557395918
18, , , 1557395919
, 17, , 1557395920
, , 17, 1557395920
18, , , 1557395921
, 17, , 1557395922
, , 17, 1557395922
18, , , 1557395923
