size1,size3, size3, timestamp,
,21, ,1557392839,
, ,17,1557392840,
18, , ,1557392840,
,17, ,1557392841,
, ,17,1557392842,
17, , ,1557392843,
,17, ,1557392843,
, ,17,1557392844,
18, , ,1557392845,
,16, ,1557392845,
, ,17,1557392846,
18, , ,1557392847,
,17, ,1557392847,
, ,16,1557392848,
18, , ,1557392849,
,16, ,1557392849,
, ,17,1557392850,
18, , ,1557392851,
,17, ,1557392851,
, ,17,1557392852,
18, , ,1557392853,
,17, ,1557392853,
, ,16,1557392854,
18, , ,1557392855,
,17, ,1557392855,
, ,17,1557392856,
18, , ,1557392857,
,16, ,1557392857,
, ,17,1557392858,
18, , ,1557392859,
,17, ,1557392859,
, ,17,1557392860,
20, , ,1557392861,
,16, ,1557392862,
, ,17,1557392862,
18, , ,1557392863,
,17, ,1557392864,
, ,17,1557392865,
21, , ,1557392865,
,17, ,1557392866,
, ,17,1557392867,
17, , ,1557392867,
,17, ,1557392868,
, ,17,1557392869,
18, , ,1557392869,
,17, ,1557392870,
, ,16,1557392871,
19, , ,1557392871,
,17, ,1557392872,
, ,17,1557392873,
19, , ,1557392873,
,17, ,1557392874,
, ,17,1557392875,
18, , ,1557392875,
,20, ,1557392876,
, ,17,1557392877,
18, , ,1557392877,
,16, ,1557392878,
, ,17,1557392879,
18, , ,1557392880,
,17, ,1557392880,
, ,17,1557392881,
18, , ,1557392882,
,17, ,1557392882,
, ,17,1557392883,
18, , ,1557392884,
,17, ,1557392884,
, ,16,1557392885,
18, , ,1557392886,
,19, ,1557392886,
, ,21,1557392887,
18, , ,1557392888,
,16, ,1557392888,
, ,17,1557392889,
18, , ,1557392890,
,17, ,1557392890,
, ,17,1557392891,
18, , ,1557392892,
,17, ,1557392892,
, ,17,1557392893,
18, , ,1557392894,
,17, ,1557392894,
, ,17,1557392895,
19, , ,1557392896,
,18, ,1557392896,
, ,17,1557392897,
18, , ,1557392898,
,17, ,1557392898,
, ,17,1557392899,
18, , ,1557392900,
,18, ,1557392901,
, ,17,1557392901,
18, , ,1557392902,
,16, ,1557392903,
, ,17,1557392904,
18, , ,1557392904,
,17, ,1557392905,
, ,17,1557392906,
22, , ,1557392906,
,18, ,1557392907,
, ,16,1557392908,
21, , ,1557392908,
,17, ,1557392909,
, ,17,1557392910,
18, , ,1557392910,
,16, ,1557392911,
, ,17,1557392912,
18, , ,1557392912,
,16, ,1557392913,
, ,16,1557392914,
18, , ,1557392914,
,16, ,1557392915,
, ,17,1557392916,
18, , ,1557392916,
,16, ,1557392917,
, ,17,1557392918,
18, , ,1557392919,
,17, ,1557392919,
, ,17,1557392920,
18, , ,1557392921,
,17, ,1557392921,
, ,17,1557392922,
18, , ,1557392923,
,17, ,1557392923,
, ,17,1557392924,
19, , ,1557392925,
,17, ,1557392925,
, ,17,1557392926,
19, , ,1557392927,
,20, ,1557392927,
, ,17,1557392928,
18, , ,1557392929,
,17, ,1557392929,
, ,16,1557392930,
18, , ,1557392931,
,17, ,1557392931,
, ,17,1557392932,
18, , ,1557392933,
,17, ,1557392933,
, ,17,1557392934,
18, , ,1557392935,
,16, ,1557392935,
, ,18,1557392936,
18, , ,1557392937,
,16, ,1557392938,
, ,17,1557392938,
18, , ,1557392939,
,16, ,1557392940,
, ,17,1557392941,
18, , ,1557392941,
,16, ,1557392942,
, ,17,1557392943,
18, , ,1557392943,
,17, ,1557392944,
, ,17,1557392945,
18, , ,1557392945,
,16, ,1557392946,
, ,17,1557392947,
18, , ,1557392947,
,17, ,1557392948,
, ,17,1557392949,
18, , ,1557392949,
,17, ,1557392950,
, ,17,1557392951,
21, , ,1557392951,
,17, ,1557392952,
, ,17,1557392953,
22, , ,1557392953,
,16, ,1557392954,
, ,16,1557392955,
19, , ,1557392955,
,16, ,1557392956,
, ,17,1557392957,
18, , ,1557392958,
,17, ,1557392958,
, ,17,1557392959,
17, , ,1557392960,
,17, ,1557392960,
, ,17,1557392961,
17, , ,1557392984,
,17, ,1557392985,
, ,16,1557392986,
19, , ,1557392986,
,18, ,1557392987,
, ,17,1557392988,
18, , ,1557392988,
,17, ,1557392989,
, ,17,1557392990,
18, , ,1557392990,
,16, ,1557392991,
, ,17,1557392992,
18, , ,1557392992,
,17, ,1557392993,
, ,17,1557392994,
18, , ,1557392995,
,17, ,1557392995,
, ,17,1557392996,
18, , ,1557392997,
,17, ,1557392997,
, ,17,1557392998,
18, , ,1557392999,
,17, ,1557392999,
, ,17,1557393000,
19, , ,1557393001,
,17, ,1557393001,
, ,17,1557393002,
17, , ,1557393003,
,17, ,1557393003,
, ,17,1557393004,
18, , ,1557393005,
,17, ,1557393005,
, ,17,1557393006,
18, , ,1557393007,
,17, ,1557393007,
, ,17,1557393008,
19, , ,1557393009,
20, , ,1557393011,
,17, ,1557393011,
, ,17,1557393012,
19, , ,1557393013,
,17, ,1557393014,
, ,17,1557393014,
20, , ,1557393015,
,17, ,1557393016,
, ,17,1557393016,
18, , ,1557393017,
,19, ,1557393018,
, ,17,1557393019,
18, , ,1557393019,
,19, ,1557393020,
, ,21,1557393021,
18, , ,1557393021,
,17, ,1557393022,
, ,23,1557393023,
18, , ,1557393023,
,17, ,1557393024,
, ,17,1557393025,
18, , ,1557393025,
,17, ,1557393026,
, ,19,1557393027,
18, , ,1557393027,
,17, ,1557393028,
, ,17,1557393029,
18, , ,1557393029,
,17, ,1557393030,
, ,17,1557393031,
18, , ,1557393031,
,17, ,1557393032,
, ,17,1557393033,
18, , ,1557393034,
,17, ,1557393034,
, ,17,1557393035,
19, , ,1557393036,
,17, ,1557393036,
, ,16,1557393037,
18, , ,1557393038,
,17, ,1557393038,
, ,17,1557393039,
18, , ,1557393040,
,17, ,1557393040,
, ,17,1557393041,
23, , ,1557393042,
,17, ,1557393042,
, ,17,1557393043,
18, , ,1557393044,
,17, ,1557393044,
, ,17,1557393045,
18, , ,1557393046,
,18, ,1557393046,
, ,17,1557393047,
18, , ,1557393048,
,17, ,1557393048,
, ,17,1557393049,
18, , ,1557393050,
,17, ,1557393050,
, ,16,1557393051,
17, , ,1557393052,
,17, ,1557393053,
, ,17,1557393053,
18, , ,1557393054,
,17, ,1557393055,
, ,17,1557393055,
18, , ,1557393056,
,17, ,1557393057,
, ,17,1557393058,
19, , ,1557393058,
,17, ,1557393059,
, ,17,1557393060,
18, , ,1557393060,
,16, ,1557393061,
, ,17,1557393062,
18, , ,1557393062,
,24, ,1557393063,
, ,17,1557393064,
18, , ,1557393064,
,17, ,1557393065,
, ,17,1557393066,
18, , ,1557393066,
,17, ,1557393067,
, ,17,1557393068,
18, , ,1557393068,
,17, ,1557393069,
, ,17,1557393070,
17, , ,1557393070,
,16, ,1557393071,
, ,20,1557393072,
17, , ,1557393073,
,17, ,1557393073,
, ,16,1557393074,
18, , ,1557393075,
,17, ,1557393075,
, ,17,1557393076,
19, , ,1557393077,
,18, ,1557393077,
, ,17,1557393078,
18, , ,1557393079,
,17, ,1557393079,
, ,17,1557393080,
18, , ,1557393081,
,17, ,1557393081,
, ,16,1557393082,
19, , ,1557393083,
,17, ,1557393083,
, ,16,1557393084,
18, , ,1557393085,
,17, ,1557393085,
, ,17,1557393086,
19, , ,1557393087,
